quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(REG)Top-14+W,threeOf9,100,848952,4,0.0,0.02127462705080751,0.02127462705080751,0.08751190000111819
(REG)Top-14+W,threeOf9,100,262985,5,0.0,0.024642820964907497,0.024642820964907497,0.08466800000314834
(REG)Top-14+W,threeOf9,100,473367,6,0.0,0.03698827849754632,0.03698827849754632,0.08586800000193762
(REG)Top-14+W,threeOf9,100,592875,7,0.0,0.03582740596288055,0.03582740596288055,0.0860839000051783
(REG)Top-14+W,threeOf9,100,337175,8,0.0,0.035810834242731904,0.035810834242731904,0.08652670000083162
(REG)Top-14+W,threeOf9,100,763680,9,0.0,0.030470876378223932,0.030470876378223932,0.08637549999912153
(REG)Top-14+W,threeOf9,100,606398,10,0.0,0.03053418221497806,0.03053418221497806,0.08616519999850425
(REG)Top-14+W,threeOf9,100,505470,1,0.05,0.09807055617716509,0.04807055617716509,0.08625740000206861
(REG)Top-14+W,threeOf9,100,991732,2,0.05,0.07927543948850893,0.029275439488508928,0.08681179999621236
(REG)Top-14+W,threeOf9,100,536163,3,0.05,0.09176658020580486,0.04176658020580486,0.08496370000284514
(REG)Top-14+W,threeOf9,100,159928,4,0.05,0.06772040798416833,0.017720407984168324,0.0856814999897324
(REG)Top-14+W,threeOf9,100,42826,5,0.05,0.06172746278389197,0.011727462783891966,0.08754120000230614
(REG)Top-14+W,threeOf9,100,487870,6,0.05,0.045997978322232076,0.0040020216777679266,0.08436860000801971
(REG)Top-14+W,threeOf9,100,490307,7,0.05,0.06546678348567646,0.015466783485676455,0.08548399999199319
(REG)Top-14+W,threeOf9,100,196734,8,0.05,0.06256505784707853,0.012565057847078523,0.08512840000548749
(REG)Top-14+W,threeOf9,100,622844,9,0.05,0.11889959229605536,0.06889959229605536,0.08514689999719849
(REG)Top-14+W,threeOf9,100,283220,10,0.05,0.08970445581569401,0.03970445581569401,0.08616210000036517
(REG)Top-14+W,threeOf9,100,665861,1,0.11,0.12651157549791212,0.016511575497912115,0.08647470001596957
(REG)Top-14+W,threeOf9,100,700406,2,0.11,0.15908289508042217,0.04908289508042217,0.08630079999056761
(REG)Top-14+W,threeOf9,100,531589,3,0.11,0.14835684204107896,0.03835684204107896,0.08709109999108477
(REG)Top-14+W,threeOf9,100,928421,4,0.11,0.08436707479253816,0.02563292520746184,0.08836709999741288
(REG)Top-14+W,threeOf9,100,902976,5,0.11,0.13276888934989572,0.022768889349895724,0.08575470000505447
(REG)Top-14+W,threeOf9,100,223229,6,0.11,0.07454664169839809,0.035453358301601914,0.08675920000678161
(REG)Top-14+W,threeOf9,100,333132,7,0.11,0.09676691127839633,0.01323308872160367,0.08681769999748212
(REG)Top-14+W,threeOf9,100,847918,8,0.11,0.08873162325729654,0.02126837674270346,0.08817500000805012
(REG)Top-14+W,threeOf9,100,632113,9,0.11,0.11211637273001095,0.002116372730010946,0.08757270000933204
(REG)Top-14+W,threeOf9,100,960213,10,0.11,0.10356843061501811,0.006431569384981892,0.08642790000521927
(REG)Top-14+W,threeOf9,100,547320,1,0.16,0.19259055396340197,0.032590553963401964,0.08685909999258001
(REG)Top-14+W,threeOf9,100,396374,2,0.16,0.15472347269310124,0.0052765273068987595,0.08748040000136825
(REG)Top-14+W,threeOf9,100,488753,3,0.16,0.11548360413446111,0.04451639586553889,0.08608440000534756
(REG)Top-14+W,threeOf9,100,876968,4,0.16,0.1574635221123418,0.002536477887658206,0.08906369998658192
(REG)Top-14+W,threeOf9,100,984224,5,0.16,0.1726544004096319,0.012654400409631894,0.08482009999352158
(REG)Top-14+W,threeOf9,100,685964,6,0.16,0.14766846393402347,0.012331536065976534,0.08712329999980284
(REG)Top-14+W,threeOf9,100,822433,7,0.16,0.11645877729018081,0.043541222709819194,0.08679010000196286
(REG)Top-14+W,threeOf9,100,183664,8,0.16,0.15079331793517645,0.009206682064823557,0.08606879999206285
(REG)Top-14+W,threeOf9,100,413611,9,0.16,0.1594604702659812,0.000539529734018801,0.09337259999665548
(REG)Top-14+W,threeOf9,100,575505,10,0.16,0.19714518292647923,0.037145182926479225,0.08562470000470057
(REG)Top-14+W,threeOf9,100,47466,1,0.21,0.18875294264035195,0.021247057359648047,0.0866711000126088
(REG)Top-14+W,threeOf9,100,811151,2,0.21,0.19296300086780666,0.017036999132193337,0.0857845999962592
(REG)Top-14+W,threeOf9,100,930504,3,0.21,0.210342997401036,0.0003429974010360215,0.08497189999980037
(REG)Top-14+W,threeOf9,100,436213,4,0.21,0.24909155611376776,0.03909155611376777,0.08650509999642964
(REG)Top-14+W,threeOf9,100,432487,5,0.21,0.24967128988697482,0.039671289886974825,0.08270180000909022
(REG)Top-14+W,threeOf9,100,691275,6,0.21,0.21641817410194208,0.006418174101942092,0.08755109999765409
(REG)Top-14+W,threeOf9,100,744101,7,0.21,0.2000459256449844,0.00995407435501558,0.08575610000480083
(REG)Top-14+W,threeOf9,100,200042,8,0.21,0.2388591964221383,0.0288591964221383,0.09340169999995851
(REG)Top-14+W,threeOf9,100,555081,9,0.21,0.24838868707431083,0.03838868707431084,0.08599640000466025
(REG)Top-14+W,threeOf9,100,381573,10,0.21,0.2701998901827238,0.060199890182723786,0.0876918000067235
(REG)Top-14+W,threeOf9,100,5372,1,0.26,0.2973640855898445,0.0373640855898445,0.08796320000328706
(REG)Top-14+W,threeOf9,100,195071,2,0.26,0.2937824392061586,0.03378243920615859,0.08574129999396973
(REG)Top-14+W,threeOf9,100,601975,3,0.26,0.2515531641334183,0.008446835866581681,0.08487560001231031
(REG)Top-14+W,threeOf9,100,861509,4,0.26,0.23269291562928554,0.02730708437071447,0.08646130001216079
(REG)Top-14+W,threeOf9,100,187199,5,0.26,0.3042141901809975,0.04421419018099748,0.08605949999036966
(REG)Top-14+W,threeOf9,100,475075,6,0.26,0.19726565231481646,0.06273434768518354,0.0860744000019622
(REG)Top-14+W,threeOf9,100,909935,7,0.26,0.3296352254798544,0.0696352254798544,0.0841223000024911
(REG)Top-14+W,threeOf9,100,441844,8,0.26,0.3043616921954689,0.04436169219546887,0.08702449999327655
(REG)Top-14+W,threeOf9,100,333011,9,0.26,0.2256807450993021,0.0343192549006979,0.08547239999825251
(REG)Top-14+W,threeOf9,100,242080,10,0.26,0.307387828495909,0.047387828495909,0.08645589999650838
(REG)Top-14+W,threeOf9,100,628142,1,0.32,0.29647511963446727,0.02352488036553274,0.08940779999102233
(REG)Top-14+W,threeOf9,100,357100,2,0.32,0.3217173266841515,0.0017173266841514767,0.0843131999936304
(REG)Top-14+W,threeOf9,100,116673,3,0.32,0.3387619254156291,0.0187619254156291,0.08540500000526663
(REG)Top-14+W,threeOf9,100,999023,4,0.32,0.29812461161269166,0.021875388387308348,0.08581199999753153
(REG)Top-14+W,threeOf9,100,266800,5,0.32,0.3344061793685425,0.014406179368542493,0.08751540000594105
(REG)Top-14+W,threeOf9,100,926686,6,0.32,0.3116039973362429,0.008396002663757118,0.09029099999679602
(REG)Top-14+W,threeOf9,100,239557,7,0.32,0.3801819623690712,0.060181962369071196,0.08679110000230139
(REG)Top-14+W,threeOf9,100,542906,8,0.32,0.2590008325695942,0.06099916743040579,0.08793449999575387
(REG)Top-14+W,threeOf9,100,610734,9,0.32,0.3155249912392998,0.004475008760700228,0.09045809999588528
(REG)Top-14+W,threeOf9,100,233215,10,0.32,0.3653832615027761,0.04538326150277611,0.0855035999957181
(REG)Top-14+W,threeOf9,100,47453,1,0.37,0.3760628254049543,0.006062825404954286,0.0841872999953921
(REG)Top-14+W,threeOf9,100,601906,2,0.37,0.37115499415809694,0.0011549941580969447,0.08587180000176886
(REG)Top-14+W,threeOf9,100,604481,3,0.37,0.3241520130169427,0.04584798698305731,0.08506300000226474
(REG)Top-14+W,threeOf9,100,224077,4,0.37,0.3940455225058402,0.02404552250584019,0.08418300000266754
(REG)Top-14+W,threeOf9,100,811120,5,0.37,0.41461143275396906,0.04461143275396906,0.08731270000498625
(REG)Top-14+W,threeOf9,100,548650,6,0.37,0.33599275179416394,0.03400724820583606,0.0835469000012381
(REG)Top-14+W,threeOf9,100,775919,7,0.37,0.3885531296254617,0.018553129625461684,0.08600100001422106
(REG)Top-14+W,threeOf9,100,513974,8,0.37,0.3679414282306235,0.002058571769376516,0.08839970000190078
(REG)Top-14+W,threeOf9,100,753693,9,0.37,0.3998194340205054,0.02981943402050541,0.0835973999928683
(REG)Top-14+W,threeOf9,100,829744,10,0.37,0.3337505403864018,0.03624945961359821,0.0861226000051829
(REG)Top-14+W,threeOf9,100,835108,1,0.42,0.393768603280314,0.026231396719685995,0.08581340000455384
(REG)Top-14+W,threeOf9,100,611288,2,0.42,0.4408439243693306,0.020843924369330635,0.08580760000404553
(REG)Top-14+W,threeOf9,100,70364,3,0.42,0.48882670934915334,0.06882670934915336,0.08411669998895377
(REG)Top-14+W,threeOf9,100,801029,4,0.42,0.4123095830102677,0.007690416989732274,0.08491469999717083
(REG)Top-14+W,threeOf9,100,575529,5,0.42,0.3720669098366046,0.047933090163395364,0.0853099999949336
(REG)Top-14+W,threeOf9,100,646063,6,0.42,0.4079601341958268,0.012039865804173211,0.08569909999641823
(REG)Top-14+W,threeOf9,100,733034,7,0.42,0.454829348130297,0.03482934813029703,0.08379779999813763
(REG)Top-14+W,threeOf9,100,489490,8,0.42,0.43861890373637175,0.01861890373637176,0.08539560000644997
(REG)Top-14+W,threeOf9,100,893365,9,0.42,0.4385516775006921,0.018551677500692143,0.08558069998616702
(REG)Top-14+W,threeOf9,100,104389,10,0.42,0.4790306226891095,0.059030622689109524,0.0848621999975876
(REG)Top-14+W,threeOf9,100,954718,1,0.47,0.45409024986074786,0.01590975013925211,0.08521780000592116
(REG)Top-14+W,threeOf9,100,370759,2,0.47,0.4202125830632298,0.04978741693677019,0.0847009999997681
(REG)Top-14+W,threeOf9,100,39662,3,0.47,0.41031154795082875,0.059688452049171226,0.08489169999302248
(REG)Top-14+W,threeOf9,100,59903,4,0.47,0.5091043871545148,0.03910438715451481,0.08579449999524513
(REG)Top-14+W,threeOf9,100,832716,5,0.47,0.45201986000056604,0.01798013999943393,0.08750339999460266
(REG)Top-14+W,threeOf9,100,869077,6,0.47,0.4554633579787493,0.014536642021250656,0.08344449999276549
(REG)Top-14+W,threeOf9,100,568353,7,0.47,0.42994610172875625,0.040053898271243726,0.08505369999693357
(REG)Top-14+W,threeOf9,100,928773,8,0.47,0.5087740560813596,0.03877405608135964,0.0862981000173022
(REG)Top-14+W,threeOf9,100,223126,9,0.47,0.5134928834372975,0.043492883437297514,0.0841480000053707
(REG)Top-14+W,threeOf9,100,532073,10,0.47,0.4772252714302594,0.007225271430259417,0.08637090001138858
(REG)Top-14+W,threeOf9,100,366767,1,0.53,0.46300588563858425,0.06699411436141578,0.0857975000035367
(REG)Top-14+W,threeOf9,100,760748,2,0.53,0.5393229712845624,0.009322971284562387,0.08705449999979464
(REG)Top-14+W,threeOf9,100,379563,3,0.53,0.5271870796434435,0.0028129203565565586,0.08597240000017337
(REG)Top-14+W,threeOf9,100,844567,4,0.53,0.5020280038318498,0.02797199616815027,0.08579600000666687
(REG)Top-14+W,threeOf9,100,613579,5,0.53,0.5033952154138099,0.02660478458619009,0.08522690000245348
(REG)Top-14+W,threeOf9,100,619742,6,0.53,0.5620217502422279,0.032021750242227864,0.08418969999911496
(REG)Top-14+W,threeOf9,100,838234,7,0.53,0.6134018944104844,0.0834018944104844,0.08504319998974097
(REG)Top-14+W,threeOf9,100,434649,8,0.53,0.5354980747228149,0.0054980747228148275,0.08633349999581696
(REG)Top-14+W,threeOf9,100,278166,9,0.53,0.5151184030122771,0.014881596987722956,0.08787039999151602
(REG)Top-14+W,threeOf9,100,154308,10,0.53,0.5086877607082061,0.021312239291793933,0.08641419999185018
(REG)Top-14+W,threeOf9,100,665422,1,0.58,0.5103798541188073,0.0696201458811927,0.08256920000349055
(REG)Top-14+W,threeOf9,100,753026,2,0.58,0.5255868252603674,0.054413174739632586,0.08642880000843434
(REG)Top-14+W,threeOf9,100,456287,3,0.58,0.5806027275311898,0.0006027275311898395,0.08318380000491743
(REG)Top-14+W,threeOf9,100,850200,4,0.58,0.5699823333790097,0.01001766662099024,0.08814460000212421
(REG)Top-14+W,threeOf9,100,985665,5,0.58,0.45651641546749855,0.12348358453250141,0.08531519999814918
(REG)Top-14+W,threeOf9,100,711327,6,0.58,0.5757915668435547,0.004208433156445257,0.08381320000989945
(REG)Top-14+W,threeOf9,100,524304,7,0.58,0.5474461248230954,0.032553875176904556,0.08494050001172582
(REG)Top-14+W,threeOf9,100,265250,8,0.58,0.5857301421696403,0.0057301421696402954,0.08589189999474911
(REG)Top-14+W,threeOf9,100,111126,9,0.58,0.633561210294684,0.05356121029468408,0.08584679999330547
(REG)Top-14+W,threeOf9,100,270051,10,0.58,0.6356609359505568,0.05566093595055688,0.08569189999616356
(REG)Top-14+W,threeOf9,100,34839,1,0.63,0.6101972286093278,0.019802771390672214,0.08601440000347793
(REG)Top-14+W,threeOf9,100,820888,2,0.63,0.5735894669953168,0.05641053300468324,0.08648069999617292
(REG)Top-14+W,threeOf9,100,186257,3,0.63,0.6328923583237773,0.002892358323777322,0.08619629999884637
(REG)Top-14+W,threeOf9,100,378968,4,0.63,0.6290578388582352,0.000942161141764819,0.08569849999912549
(REG)Top-14+W,threeOf9,100,628243,5,0.63,0.589821691040247,0.04017830895975305,0.08506459999989602
(REG)Top-14+W,threeOf9,100,838581,6,0.63,0.5599744692336731,0.0700255307663269,0.08287070000369567
(REG)Top-14+W,threeOf9,100,979618,7,0.63,0.5920710822241739,0.037928917775826076,0.08585220000168192
(REG)Top-14+W,threeOf9,100,716274,8,0.63,0.6371335041066603,0.007133504106660249,0.08236959999703686
(REG)Top-14+W,threeOf9,100,493306,9,0.63,0.607590797128815,0.022409202871184974,0.08691449998877943
(REG)Top-14+W,threeOf9,100,265072,10,0.63,0.596756043818806,0.03324395618119402,0.08518589999584947
(REG)Top-14+W,threeOf9,100,840926,1,0.68,0.7198459015121185,0.03984590151211842,0.08422119998795097
(REG)Top-14+W,threeOf9,100,738523,2,0.68,0.6480176163992516,0.031982383600748454,0.0825014999936684
