quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(KNN)Top-1,AedesQuinx,100,2,8,0.32,0.28822720122785855,0.03177279877214145,0.0588024000171572
(KNN)Top-1,AedesQuinx,100,807,9,0.32,0.2755064481906079,0.04449355180939213,0.060660399962216616
(KNN)Top-1,AedesQuinx,100,277,10,0.32,0.33478258081679385,0.014782580816793844,0.05946279998170212
(KNN)Top-1,AedesQuinx,100,109,1,0.37,0.380174535637576,0.010174535637576032,0.059481100004632026
(KNN)Top-1,AedesQuinx,100,514,2,0.37,0.39934777731573273,0.029347777315732737,0.05878880003001541
(KNN)Top-1,AedesQuinx,100,534,3,0.37,0.34913047347168485,0.02086952652831514,0.12750900001265109
(KNN)Top-1,AedesQuinx,100,491,4,0.37,0.36193476224777493,0.008065237752225063,0.058642499963752925
(KNN)Top-1,AedesQuinx,100,473,5,0.37,0.29417388532091193,0.07582611467908806,0.08557439997093752
(KNN)Top-1,AedesQuinx,100,734,6,0.37,0.3896603331974932,0.01966033319749322,0.05840219999663532
(KNN)Top-1,AedesQuinx,100,147,7,0.37,0.31019730763143377,0.059802692368566224,0.11036250001052395
(KNN)Top-1,AedesQuinx,100,727,8,0.37,0.3659044556090619,0.004095544390938122,0.1026477999985218
(KNN)Top-1,AedesQuinx,100,530,9,0.37,0.34070509882550265,0.029294901174497345,0.21854219998931512
(KNN)Top-1,AedesQuinx,100,116,10,0.37,0.35866061132318766,0.011339388676812334,0.15983359998790547
(KNN)Top-1,AedesQuinx,100,242,1,0.42,0.39084210285288634,0.029157897147113643,0.1825562000158243
(KNN)Top-1,AedesQuinx,100,9,2,0.42,0.34228794879781804,0.07771205120218194,0.15239560004556552
(KNN)Top-1,AedesQuinx,100,486,3,0.42,0.2925785702500666,0.12742142974993337,0.20307759998831898
(KNN)Top-1,AedesQuinx,100,524,4,0.42,0.45425895763076796,0.03425895763076797,0.13574270001845434
(KNN)Top-1,AedesQuinx,100,321,5,0.42,0.3983803943025953,0.021619605697404676,0.1617361000389792
(KNN)Top-1,AedesQuinx,100,419,6,0.42,0.37568982894654906,0.04431017105345092,0.08483569999225438
(KNN)Top-1,AedesQuinx,100,724,7,0.42,0.3919942706185332,0.028005729381466782,0.22443569998722523
(KNN)Top-1,AedesQuinx,100,368,8,0.42,0.47293109109707343,0.052931091097073446,0.1620081000146456
(KNN)Top-1,AedesQuinx,100,547,9,0.42,0.4025011100552776,0.017498889944722373,0.2237701999838464
(KNN)Top-1,AedesQuinx,100,996,10,0.42,0.35268170499122337,0.06731829500877662,0.15074539999477565
(KNN)Top-1,AedesQuinx,100,334,1,0.47,0.5098510571562942,0.03985105715629422,0.20421940000960603
(KNN)Top-1,AedesQuinx,100,485,2,0.47,0.5070053545643698,0.03700535456436982,0.10041590000037104
(KNN)Top-1,AedesQuinx,100,151,3,0.47,0.3445996100218342,0.12540038997816577,0.21537739998893812
(KNN)Top-1,AedesQuinx,100,618,4,0.47,0.4327030946008063,0.03729690539919367,0.11331699998117983
(KNN)Top-1,AedesQuinx,100,374,5,0.47,0.5522772652551278,0.0822772652551278,0.10798290005186573
(KNN)Top-1,AedesQuinx,100,331,6,0.47,0.46518598360139485,0.004814016398605125,0.17399490001844242
(KNN)Top-1,AedesQuinx,100,770,7,0.47,0.5076410310811992,0.037641031081199205,0.21653469995362684
(KNN)Top-1,AedesQuinx,100,781,8,0.47,0.49945595128464804,0.029455951284648063,0.18734669999685138
(KNN)Top-1,AedesQuinx,100,357,9,0.47,0.4835528961865061,0.013552896186506125,0.14209060004213825
(KNN)Top-1,AedesQuinx,100,763,10,0.47,0.3562786190982164,0.11372138090178358,0.09224860003450885
(KNN)Top-1,AedesQuinx,100,934,1,0.53,0.4750838223148329,0.0549161776851671,0.13159109995467588
(KNN)Top-1,AedesQuinx,100,802,2,0.53,0.3614594787003368,0.16854052129966324,0.23166699998546392
