quantifier,dataset,inv_abs_error,run_time
CC,cmc,0.82863429,9.550000067974906e-06
CC,covtype_reduced,0.8889493199999999,9.786000046005938e-06
CC,cpu_act,0.9413438949999999,9.561500010022427e-06
CC,default_credit_card_clients,0.74900486,9.591000025466202e-06
CC,delta_ailerons,0.9635519600000001,9.14249997549632e-06
CC,eeg,0.7921158749999999,9.3459999152401e-06
CC,electricity-normalized,0.863762465,9.739999995872495e-06
CC,elevators,0.90419945,9.697499999674619e-06
CC,file22f0e4a679,0.985290475,9.697499954199885e-06
CC,file79b563a1a18,0.8811994599999999,9.892499965644675e-06
CC,file7b5365fa741c,0.864693355,9.763500038388884e-06
CC,fri_c2_1000_10,0.8661918799999999,9.513000040897168e-06
CC,fried,0.9193716399999999,9.652500129959663e-06
CC,gina_agnostic,0.91539175,9.437500029889633e-06
CC,houses,0.9787217850000001,9.400500039191683e-06
CC,jm1-processed,0.724741035,9.4185000671132e-06
CC,kdd_JapaneseVowels,0.94727622,9.378500108141452e-06
CC,kin8nm,0.875768085,9.29850011743838e-06
CC,letter-recognition,0.722564505,9.485000118729658e-06
CC,magic,0.853482715,9.455500203330303e-06
CC,mozilla,0.91908973,9.457499963900773e-06
CC,namao,0.95810396,8.864499905030244e-06
CC,occupancy,0.993464835,8.793999986664858e-06
CC,page-blocks,0.8839265500000001,8.520000010321383e-06
CC,parity5_plus_5,0.7928720149999999,8.3200000335637e-06
CC,pendigits,0.98947929,8.611500106781023e-06
CC,phoneme,0.8177489,8.495000020047883e-06
CC,php50jXam,0.9855745899999999,8.423000090260756e-06
CC,phpGUrE90,0.940057235,8.483500132570042e-06
CC,phpMD2hR6,0.8566656399999999,8.771499942668015e-06
CC,phpV5QYya,0.9561189,8.932999953685794e-06
CC,phpWfYmlu,0.889804115,8.537000012438511e-06
CC,phphQEck0,0.9307903249999999,8.842999923217576e-06
CC,phplE7q6h,0.7950451049999999,8.786999987933086e-06
CC,phpmPOD5A,0.69607305,8.728500069992151e-06
CC,phpwRjVjk,0.758402665,8.558499976061285e-06
CC,phpxijhaP,0.984823305,8.645500056445598e-06
CC,pol,0.93335133,8.670500046719098e-06
CC,pollen,0.786708795,8.558499903301709e-06
CC,puma32H,0.852234685,8.70400013809558e-06
CC,puma8NH,0.9069837350000001,8.564500058128033e-06
CC,quake,0.7260449950000001,8.38050000311341e-06
CC,space_ga,0.915592625,8.76499994774349e-06
CC,spambase,0.9514883749999999,8.722499951545614e-06
CC,sylva_prior,0.988548505,8.82849997651647e-06
CC,visualizing_soil,0.9961026599999999,8.572999904572498e-06
CC,wind,0.92457299,8.846999935485656e-06
CC,winetype,0.9959017299999999,8.597499909228645e-06
DyS,1043_ada_agnostic,0.9567742,0.04734402050003605
DyS,1460_banana,0.91840667,0.04723619700002469
DyS,1462_banknote-authentication,0.993953315,0.04613559049997543
DyS,1466_cardiotocography,0.99854378,0.04646577849998262
DyS,1475_first-order-theorem-proving,0.9396860499999999,0.04793012649995485
DyS,1479_hill-valley,0.95236788,0.045964934499979744
DyS,1485_madelon,0.816464,0.04713821899997579
DyS,1489_phoneme,0.952437725,0.04773625699996496
DyS,1494_qsar-biodeg,0.9641206800000001,0.045589982000001285
DyS,1496_ringnorm,0.955964975,0.04805657700001116
DyS,1497_wall-robot-navigation,0.95197513,0.04794542650001398
DyS,1504_steel-plates-fault,0.9989323950000001,0.04618828550000212
DyS,1507_twonorm,0.9924912899999999,0.04750468050003742
DyS,1526_wall-robot-navigation,0.947176705,0.0479748950000248
DyS,1535_volcanoes-b5,0.93357996,0.047588416499997906
DyS,1538_volcanoes-d1,0.947441875,0.04759686849995883
DyS,1539_volcanoes-d2,0.942865695,0.04730613350001017
DyS,1540_volcanoes-d3,0.94888649,0.04727165250000321
DyS,1541_volcanoes-d4,0.92840749,0.047354300000001744
DyS,1566_hill-valley,0.8411818,0.045773949499957736
DyS,182_satimage,0.991451335,0.04777552349997218
DyS,23_cmc,0.9267589549999999,0.04631826449999603
DyS,28_optdigits,0.9850993200000001,0.046735142000006766
DyS,294_satellite_image,0.990671385,0.047776989000067216
DyS,2dplanes,0.97136257,0.0527134685000055
DyS,30_page-blocks,0.9744530299999999,0.047960548000028164
DyS,312_scene,0.98701297,0.04560026199997078
DyS,375_JapaneseVowels,0.986249135,0.04739103350010732
DyS,40474_thyroid-allbp,0.95260322,0.044927110499957006
DyS,40475_thyroid-allhyper,0.95260322,0.04511740399998412
DyS,40733_yeast,0.9326694799999999,0.045097039000011094
DyS,44_spambase,0.97985365,0.04853846400002108
DyS,4538_GesturePhaseSegmentationProcessed,0.91515171,0.04774471049990093
DyS,60_waveform-5000,0.97407787,0.04571286750001487
DyS,679_rmftsa_sleepdata,0.9169457049999999,0.04424956150008252
DyS,AedesQuinx,0.96292263,0.04849507500000977
DyS,AedesSex,0.98979916,0.04732925999992398
DyS,ArabicDigit,0.993691935,0.0457794965000357
