Method,Dataset,MAE
BASELINE+TOP3+MEDIAN,1066_kc1-binary,0.0390999999999999
BASELINE+TOP3+MEDIAN,1068_pc1,0.4357500000000001
BASELINE+TOP3+MEDIAN,1069_pc2,0.4858999999999999
BASELINE+TOP3+MEDIAN,1071_mw1,0.1395
BASELINE+TOP3+MEDIAN,1073_jEdit_4,0.1154499999999999
BASELINE+TOP3+MEDIAN,1075_datatrieve,0.5
BASELINE+TOP3+MEDIAN,1115_teachingAssistant,0.17425
BASELINE+TOP3+MEDIAN,1121_badges2,0.01045
BASELINE+TOP3+MEDIAN,1167_pc1_req,0.1856
BASELINE+TOP3+MEDIAN,11_balance-scale,0.040475
BASELINE+TOP3+MEDIAN,12_mfeat-factors,0.00885
BASELINE+TOP3+MEDIAN,1456_appendicitis,0.3231
BASELINE+TOP3+MEDIAN,1460_banana,0.1489
BASELINE+TOP3+MEDIAN,1462_banknote-authentication,0.0048499999999999
BASELINE+TOP3+MEDIAN,1464_blood-transfusion-service-center,0.1543749999999999
BASELINE+TOP3+MEDIAN,1465_breast-tissue,0.17885
BASELINE+TOP3+MEDIAN,1466_cardiotocography,0.0015
BASELINE+TOP3+MEDIAN,1467_climate-model-simulation-crashes,0.48625
BASELINE+TOP3+MEDIAN,1473_fertility,0.5
BASELINE+TOP3+MEDIAN,1475_first-order-theorem-proving,0.087
BASELINE+TOP3+MEDIAN,1479_hill-valley,0.0191499999999999
BASELINE+TOP3+MEDIAN,1484_lsvt,0.0949999999999999
BASELINE+TOP3+MEDIAN,1485_madelon,0.0556999999999999
BASELINE+TOP3+MEDIAN,1487_ozone-level-8hr,0.1828
BASELINE+TOP3+MEDIAN,1488_parkinsons,0.0829499999999999
BASELINE+TOP3+MEDIAN,1489_phoneme,0.02275
BASELINE+TOP3+MEDIAN,1490_planning-relax,0.3151
BASELINE+TOP3+MEDIAN,1494_qsar-biodeg,0.0471
BASELINE+TOP3+MEDIAN,1495_qualitative-bankruptcy,0.0499749999999999
BASELINE+TOP3+MEDIAN,1496_ringnorm,0.02765
BASELINE+TOP3+MEDIAN,1497_wall-robot-navigation,0.01855
BASELINE+TOP3+MEDIAN,1498_sa-heart,0.03795
BASELINE+TOP3+MEDIAN,14_mfeat-fourier,0.0007
BASELINE+TOP3+MEDIAN,1501_semeion,0.0258
BASELINE+TOP3+MEDIAN,1504_steel-plates-fault,0.0014749999999999
BASELINE+TOP3+MEDIAN,1506_thoracic-surgery,0.39425
BASELINE+TOP3+MEDIAN,1507_twonorm,0.0026499999999999
BASELINE+TOP3+MEDIAN,1508_user-knowledge,0.00815
BASELINE+TOP3+MEDIAN,1510_wdbc,0.00625
BASELINE+TOP3+MEDIAN,1511_wholesale-customers,0.01925
BASELINE+TOP3+MEDIAN,1512_heart-long-beach,0.47705
BASELINE+TOP3+MEDIAN,1519_robot-failures-lp4,0.0218
BASELINE+TOP3+MEDIAN,1520_robot-failures-lp5,0.20205
BASELINE+TOP3+MEDIAN,1523_vertebra-column,0.0142499999999999
BASELINE+TOP3+MEDIAN,1526_wall-robot-navigation,0.0217499999999999
BASELINE+TOP3+MEDIAN,1527_volcanoes-a1,0.19635
BASELINE+TOP3+MEDIAN,1528_volcanoes-a2,0.0365
BASELINE+TOP3+MEDIAN,1529_volcanoes-a3,0.02865
BASELINE+TOP3+MEDIAN,1530_volcanoes-a4,0.02765
BASELINE+TOP3+MEDIAN,1535_volcanoes-b5,0.21215
BASELINE+TOP3+MEDIAN,1538_volcanoes-d1,0.02285
BASELINE+TOP3+MEDIAN,1539_volcanoes-d2,0.2442249999999999
BASELINE+TOP3+MEDIAN,1540_volcanoes-d3,0.0201499999999999
BASELINE+TOP3+MEDIAN,1541_volcanoes-d4,0.3124
BASELINE+TOP3+MEDIAN,1547_autoUniv-au1-1000,0.1879
BASELINE+TOP3+MEDIAN,1559_breast-tissue,0.1641999999999999
BASELINE+TOP3+MEDIAN,1565_heart-h,0.1401499999999999
BASELINE+TOP3+MEDIAN,1566_hill-valley,0.08045
BASELINE+TOP3+MEDIAN,1570_wilt,0.0704499999999999
BASELINE+TOP3+MEDIAN,1600_SPECTF,0.0564999999999999
BASELINE+TOP3+MEDIAN,16_mfeat-karhunen,0.026025
BASELINE+TOP3+MEDIAN,182_satimage,0.0041
BASELINE+TOP3+MEDIAN,187_wine,0.0251
BASELINE+TOP3+MEDIAN,18_mfeat-morphological,0.0106
BASELINE+TOP3+MEDIAN,20_mfeat-pixel,0.01415
BASELINE+TOP3+MEDIAN,22_mfeat-zernike,0.03625
BASELINE+TOP3+MEDIAN,23_cmc,0.03195
BASELINE+TOP3+MEDIAN,28_optdigits,0.0112999999999999
BASELINE+TOP3+MEDIAN,292_Australian,0.0141999999999999
BASELINE+TOP3+MEDIAN,294_satellite_image,0.0061
BASELINE+TOP3+MEDIAN,30_page-blocks,0.04295
BASELINE+TOP3+MEDIAN,311_oil_spill,0.2065
BASELINE+TOP3+MEDIAN,312_scene,0.0130499999999999
BASELINE+TOP3+MEDIAN,316_yeast_ml8,0.5
