,ACC,CC,DyS,HDy,MAX,MS,PACC,PCC,SMM,SORD,X
abalone,1.0135618022074744,0.9527912605153194,1.0260849281581335,1.0166424038855106,1.0132472779719484,1.0222120164649553,0.9882661284669796,0.9200313769862495,1.0228186160353543,1.0221803624045704,1.0133536779293535
ailerons,1.0079537255729687,0.9714046223501098,1.0163065110890168,1.0109378037057426,1.0063045147707894,1.012742235895755,1.0005125189660269,0.9493096050441281,1.0125396056098874,1.0126381182000357,1.0034434057908366
anuranCalls,1.003163863637496,0.9808333161068056,1.008927926390413,1.0022916664137664,1.0079159837717713,1.0067620556894599,0.9998638258627919,0.9712212992637989,1.0074768852688318,1.0069918484714278,1.0059748910254926
balloon,1.0164212693161772,0.9361814377098527,1.0191995439615351,0.9962119953205765,1.0099595157818029,1.0216113881403068,1.019256415583165,0.9425987529079254,1.0225167248981282,1.0216437907337668,1.0037934589586954
bank8FM,1.0035215236896082,0.9817642213612098,1.0084147247630562,1.0066453336565564,1.003536366774396,1.0067194761277158,1.0009182598644066,0.9727204280056411,1.0067343136007514,1.006833344193285,1.0034550468720667
churn,0.9819873479698551,0.8687161564031592,1.1111860815690147,1.081994568527123,1.1041067584711532,1.0133785761520702,0.8183987398234406,0.9108049800637795,1.043359487223166,1.0654276685392416,1.1014523022986136
clean2,1.001092314643794,1.001092314643794,1.0000020956157576,0.9997327794465187,1.0001111422931381,1.001092314643794,0.9976025732218394,0.9976025732218394,1.0004835427248735,1.001092314643794,1.0001111422931381
click-prediction,0.8951145075367932,0.8486078031684656,1.117789447196424,1.114017265412469,1.112417539853466,0.9223415950188298,0.8471777556773666,0.9397554199231071,1.1110838398951306,1.1170055221399295,1.107482662905221
cmc,1.044573216316158,0.9290193321933854,1.0589460693635817,0.9935008196410126,1.046439512651393,1.0583875644777203,0.8402452323658662,0.920813975289351,1.0622843823838914,1.0593509790414746,1.042149408555598
covtype_reduced,1.01349792554972,0.9555447518249277,1.028629927223221,1.0166059221268875,1.0164515888864747,1.0285279348886545,0.9691646677126606,0.9115285316888899,1.0281271849856783,1.0284103637726747,1.017811591568322
cpu_act,1.0058714760731204,0.9676372481826254,1.0131569524246302,1.0047468458898954,1.0102989244927962,1.0115969454882092,0.9987422419919335,0.9567102301971373,1.0121541766949735,1.0123305446845683,1.0102989244927962
